category;item_no;item;unit;price
ARBETE;ARB-10001;Arbetstimmar bygg;timmar;100
ARBETE;ARB-10002;Arbetstimmar el;timmar;100
ARBETE;ARB-10003;Arbetstimmar golvuppbyggnad;timmar;100
ARBETE;ARB-10004;Arbetstimmar malning;timmar;100
ARBETE;ARB-10005;Arbetstimmar plattsattning;timmar;100
ARBETE;ARB-10006;Arbetstimmar puts;timmar;100
ARBETE;ARB-10007;Arbetstimmar riv;timmar;100
ARBETE;ARB-10008;Arbetstimmar ror;timmar;100
ARBETE;ARB-10009;Arbetstimmar vvs;timmar;100
SERVICE;SER-10010;Forbrukningsmaterial;st;100
SERVICE;SER-10011;Kilometerersattning;kilometer;100
SERVICE;SER-10012;Servicebil;st;100
SERVICE;SER-10013;Transport;st;100
MATERIAL;MAT-10014;12 FKR VATETTE KOPPLING RAK VA 113;st;100
MATERIAL;MAT-10015;12x1 HALVHARDA KOPPARROR FKRL=2000 MM HEL TUB;st;100
MATERIAL;MAT-10016;15 A-PRESS CU BOJ 90GR TYP V1 MUFF;st;100
MATERIAL;MAT-10017;15 A-PRESS CU HUVTYP V;st;100
MATERIAL;MAT-10018;15 FKR VATETTE KOPPLING RAK VA 113;st;100
MATERIAL;MAT-10019;15 FKR VATETTE KOPPLING VINKEL VA;st;100
MATERIAL;MAT-10020;15 VATETTE PLUGG VA 1219;st;100
MATERIAL;MAT-10021;15X1 HALVHaRDA KOPPARROR FKRL=2750 MM;st;100
MATERIAL;MAT-10022;15X1 HALVHaRDA KOPPARROR FKRL=2750 MM HEL TUB;st;100
MATERIAL;MAT-10023;15X12 FKR VATETTE KOPPLINGT-ROR VA 1150;st;100
MATERIAL;MAT-10024;20 VMKONSOL 3/5 190/220MM;st;100
MATERIAL;MAT-10025;22X20 CONEX KOPPL LK 302;st;100
MATERIAL;MAT-10026;22x15x15 A-PRESS CU T-RORTYP V;st;100
MATERIAL;MAT-10027;22xR20 A-PRESS CU OVERG MUFFTYP V INV GG;st;100
MATERIAL;MAT-10028;32 PRK KOPPL 401;st;100
MATERIAL;MAT-10029;32XR20 PRK KOPPL 403;st;100
MATERIAL;MAT-10030;75X3000MM WAFIX PP ROR M/MF *S;st;100
MATERIAL;MAT-10031;AHLSELL VATTENM.KONSOL DN25/22190/220MM AVST/BACKV;st;100
MATERIAL;MAT-10032;ALLROUNDBAND GALV EXT.B 83101;st;100
MATERIAL;MAT-10033;BLa-FaSTE DY 12/15XM26 VA 6311;st;100
MATERIAL;MAT-10034;BUSSNING R25X32;st;100
MATERIAL;MAT-10035;CU-ROR FKR.12 L=2750 HALVHaRDA;st;100
MATERIAL;MAT-10036;CU-ROR FKR.15 L=2000 HALVHaRDA;st;100
MATERIAL;MAT-10037;DIAMANTBORR;st;100
MATERIAL;MAT-10038;GOLVBRUNN PP 150X75 S PURUS OD;st;100
MATERIAL;MAT-10039;GUMMINIPPEL 50/32-40 FP 85109;st;100
MATERIAL;MAT-10040;GUMMINIPPEL 70X32 PURUS, SVART;st;100
MATERIAL;MAT-10041;KAKELBORR EXPERT 8X80MM;st;100
MATERIAL;MAT-10042;KLAMMA SNAP 12/15 FP 14005, FK;st;100
MATERIAL;MAT-10043;KLAMMA SNAP 12/15 FP 14105, FKR;st;100
MATERIAL;MAT-10044;KULVENTIL KLaVTV 12XG15 BR 50;st;100
MATERIAL;MAT-10045;LK PLASTKLAMNER TOMROR 25;st;100
MATERIAL;MAT-10046;LK PRESSPEX VINK OVERG UNI-CUAX16X15;st;100
MATERIAL;MAT-10047;LK UNIROR PE-X X16/25 RIR50M;st;100
MATERIAL;MAT-10048;MONTERINGSPLATTA 150 PURUSPLAT;st;100
MATERIAL;MAT-10049;MUFF R25;st;100
MATERIAL;MAT-10050;Material bygg;st;100
MATERIAL;MAT-10051;Material plattsattning;st;100
MATERIAL;MAT-10052;Material puts;st;100
MATERIAL;MAT-10053;Material riv;st;100
MATERIAL;MAT-10054;PROPP AX16LK SYSTEMS;st;100
MATERIAL;MAT-10055;RAK INV. GG A32XG25LK SYSTEMS;st;100
MATERIAL;MAT-10056;RORKL KSB GUMMI M8/10 108-116;st;100
MATERIAL;MAT-10057;SEXKANTNIPPEL R25;st;100
MATERIAL;MAT-10058;SILICONE UNIV. 0,3L TRANSP;st;100
MATERIAL;MAT-10059;TP-2B SKRUVPLUGG BRUN 1005008;st;100
MATERIAL;MAT-10060;VATETTE 2-HaLS VaGGBRICKA FKR15 PEX ALUPEX,PR ROR;st;100
MATERIAL;MAT-10061;VATTENLaSSATS VIT G32X40 FP437;st;100
MATERIAL;MAT-10062;VINKEL R20 INV/UTV GGA;st;100
MATERIAL;MAT-10063;VINKEL R25 INV/UTV GGA;st;100
MATERIAL;MAT-10064;VAGGBRICKA 2-RORS 16 VA 635532;st;100
MATERIAL;MAT-10065;WAFIX PP-FORMINSKN EXC 110X75;st;100
MATERIAL;MAT-10066;WAFIX PP-GRENROR 110X45*;st;100
MATERIAL;MAT-10067;WAFIX PP-GRENROR 110X75X45*;st;100
MATERIAL;MAT-10068;WAFIX PP-GRENROR 75X45*;st;100
MATERIAL;MAT-10069;WAFIX PP-RENSROR MED LOCK 110;st;100
MATERIAL;MAT-10070;lvr 20 multi kulventil 20;st;100
MATERIAL;MAT-10071;lvr 20 multi kulventil 25;st;100
